2025-07-10 23:08:16,878 (1966702/MainThread) newrelic DEBUG - Initializing Python agent stdout logging.
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config log_file = 'stdout'
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config log_level = 10
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config app_name = 'backend-python-lab'
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config license_key = '1540ff46ef9214a15b0249e11d99d824FFFFNRAL'
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config monitor_mode = True
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config high_security = False
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config thread_profiler.enabled = True
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.enabled = True
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.transaction_threshold = None
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.record_sql = 'obfuscated'
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.stack_trace_threshold = 0.5
2025-07-10 23:08:16,879 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.explain_enabled = True
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.explain_threshold = 0.5
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config transaction_tracer.function_trace = []
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config error_collector.enabled = True
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config error_collector.ignore_classes = []
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config error_collector.expected_classes = []
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config browser_monitoring.auto_instrument = True
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config custom_insights_events.max_attribute_value = 4095
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config distributed_tracing.enabled = True
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config event_harvest_config.harvest_limits.custom_event_data = 100000
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config event_harvest_config.harvest_limits.span_event_data = 10000
2025-07-10 23:08:16,880 (1966702/MainThread) newrelic.config DEBUG - agent config ai_monitoring.enabled = True
2025-07-10 23:08:16,897 (1966702/MainThread) newrelic.config DEBUG - register module ('greenlet', 'newrelic.core.trace_cache', 'greenlet_loaded')
2025-07-10 23:08:16,897 (1966702/MainThread) newrelic.config DEBUG - register module ('asyncio', 'newrelic.core.trace_cache', 'asyncio_loaded')
2025-07-10 23:08:16,897 (1966702/MainThread) newrelic.config DEBUG - register module ('openai.api_resources.embedding', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_api_resources_embedding')
2025-07-10 23:08:16,898 (1966702/MainThread) newrelic.config DEBUG - register module ('openai.api_resources.chat_completion', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_api_resources_chat_completion')
2025-07-10 23:08:16,898 (1966702/MainThread) newrelic.config DEBUG - register module ('openai.resources.embeddings', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_resources_embeddings')
2025-07-10 23:08:16,898 (1966702/MainThread) newrelic.config DEBUG - register module ('openai.util', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_util')
2025-07-10 23:08:16,898 (1966702/MainThread) newrelic.config DEBUG - register module ('openai.api_resources.abstract.engine_api_resource', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_api_resources_abstract_engine_api_resource')
