2025-07-10 23:08:23,654 (1966781/MainThread) newrelic DEBUG - Initializing Python agent stdout logging.
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config log_file = 'stdout'
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config log_level = 10
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config app_name = 'frontend-python-lab'
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config license_key = '1540ff46ef9214a15b0249e11d99d824FFFFNRAL'
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config monitor_mode = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config high_security = False
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config thread_profiler.enabled = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.enabled = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.transaction_threshold = None
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.record_sql = 'obfuscated'
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.stack_trace_threshold = 0.5
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.explain_enabled = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.explain_threshold = 0.5
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config transaction_tracer.function_trace = []
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config error_collector.enabled = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config error_collector.ignore_classes = []
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config error_collector.expected_classes = []
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config browser_monitoring.auto_instrument = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config custom_insights_events.max_attribute_value = 4095
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config distributed_tracing.enabled = True
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config event_harvest_config.harvest_limits.custom_event_data = 100000
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config event_harvest_config.harvest_limits.span_event_data = 10000
2025-07-10 23:08:23,656 (1966781/MainThread) newrelic.config DEBUG - agent config ai_monitoring.enabled = True
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('greenlet', 'newrelic.core.trace_cache', 'greenlet_loaded')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('asyncio', 'newrelic.core.trace_cache', 'asyncio_loaded')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.api_resources.embedding', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_api_resources_embedding')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.api_resources.chat_completion', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_api_resources_chat_completion')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.resources.embeddings', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_resources_embeddings')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.util', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_util')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.api_resources.abstract.engine_api_resource', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_api_resources_abstract_engine_api_resource')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai._streaming', 'newrelic.hooks.mlmodel_openai', 'instrument_openai__streaming')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.resources.chat.completions', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_resources_chat_completions')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai.resources.completions', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_resources_chat_completions')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('openai._base_client', 'newrelic.hooks.mlmodel_openai', 'instrument_openai_base_client')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('google.genai.models', 'newrelic.hooks.mlmodel_gemini', 'instrument_genai_models')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('asyncio.base_events', 'newrelic.hooks.coroutines_asyncio', 'instrument_asyncio_base_events')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_core.runnables.base', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_runnables_chains_base')
2025-07-10 23:08:23,674 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_core.runnables.config', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_core_runnables_config')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain.chains.base', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_chains_base')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_core.callbacks.manager', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_callbacks_manager')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.docarray', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.alibabacloud_opensearch', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.redis', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.aerospike', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.analyticdb', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.annoy', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.apache_doris', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.aperturedb', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.astradb', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.atlas', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.awadb', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.azure_cosmos_db_no_sql', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.azure_cosmos_db', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.azuresearch', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.bageldb', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,675 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.baiduvectordb', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,676 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.baiducloud_vector_search', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
2025-07-10 23:08:23,676 (1966781/MainThread) newrelic.config DEBUG - register module ('langchain_community.vectorstores.bigquery_vector_search', 'newrelic.hooks.mlmodel_langchain', 'instrument_langchain_vectorstore_similarity_search')
